Activity_Date,Distance_km,Elevation_Gain_ft,Time_min,Age,Days_Since_Last_Activity
2006-07-07,3.69,79.72,15.4,30,0
2006-07-10,1.73,0,7.37,30,3
2006-07-15,7.42,141.92,42.9,30,5
2006-07-17,5.49,242.62,30.05,30,2
2006-07-19,4.05,85.75,24.65,30,2
2006-07-22,3.63,48.77,17.52,30,3
2006-07-24,4.02,83.67,20.13,30,2
2006-07-29,8.24,185.05,40.42,30,5
2006-08-02,8.15,183.34,40.22,30,4
2006-08-05,10.54,245.82,53.23,30,3
2006-08-08,3.38,42.86,15.67,30,3
2006-08-09,7.05,518.34,39.53,30,1
2006-08-12,6.53,56.12,25.55,30,3
2006-08-15,4.01,39.25,14.05,30,3
2006-08-16,8.65,166.45,47.35,30,1
2006-08-20,10.82,224.71,59.52,30,4
2006-08-23,8.82,112.51,46.07,30,3
2006-08-23,4.08,89.45,17.15,30,0
2006-08-27,11.51,162.85,62.55,30,4
2006-09-23,5.06,0,26.42,30,27
2006-10-01,21.96,0,135.72,30,8
2006-10-14,5.29,87.08,29.95,30,13
2007-02-24,4.31,46.43,28.83,31,133
2007-05-01,8.81,150.43,51.5,31,66
2007-05-17,5.24,78.36,28.95,31,16
2007-05-19,10.19,83.18,57.67,31,2
2007-05-24,8.18,131.71,48.85,31,5
2007-05-27,9.73,40.11,56.57,31,3
2007-06-07,10.05,85.55,59.78,31,11
2007-06-14,7.81,300.33,48.8,31,7
2007-06-16,7.15,361.58,46.17,31,2
2007-06-23,8.55,441.52,61.52,31,7
2007-06-28,11.38,295.47,71.53,31,5
2007-07-03,4.16,76.61,21.7,31,5
2007-07-07,6.57,66.66,38.28,31,4
2007-07-24,8.15,72.03,51.13,31,17
2007-07-29,16.2,0,97.42,31,5
2007-08-18,10.38,120.95,63.1,31,20
2007-09-01,13.35,455.43,77.62,31,14
2007-09-09,16.49,0,90.23,31,8
2007-09-18,9.05,479.16,51.92,31,9
2007-09-29,21.49,917.49,127.32,31,11
2007-10-06,8.5,159.85,50.65,31,7
2007-10-11,4.95,79.29,25.65,31,5
2007-10-18,4.14,56.56,21.6,31,7
2007-10-28,21.35,316.23,121.7,31,10
2007-11-11,32.32,0,206.75,31,14
2007-11-17,7.13,129.11,51.72,31,6
2007-12-21,6.09,321.68,35.8,31,34
2007-12-25,5.55,0,31.75,31,4
2007-12-29,5.25,127.26,30,31,4
2008-01-01,3.49,84.24,17.8,32,3
2008-01-20,12.77,620.35,71.33,32,19
2008-01-25,9.76,247.24,53.02,32,5
2008-01-27,11.28,259.8,63.75,32,2
2008-01-30,3.47,35.47,17.58,32,3
2008-02-01,11.56,327.52,64,32,2
2008-02-03,13.2,282.86,75.13,32,2
2008-02-06,6.18,105.73,32.68,32,3
2008-02-10,6.5,127.66,32.97,32,4
2008-02-13,3.38,0,21.3,32,3
2008-02-14,10.01,239.7,54.98,32,1
2008-02-15,3.65,0,23.05,32,1
2008-02-17,12.83,465.62,74.7,32,2
2008-02-20,3.04,0,15.43,32,3
2008-02-21,13.96,374.8,77.25,32,1
2008-02-22,3.34,208.46,22.82,32,1
2008-02-25,15.56,389.37,84.35,32,3
2008-02-27,3.27,69.65,20.23,32,2
2008-02-29,13.23,277.62,69.63,32,2
2008-03-01,3.33,0,19.47,32,1
2008-03-02,16.96,435.01,106.52,32,1
2008-03-05,3.29,53.75,19.48,32,3
2008-03-07,11.31,156.81,59.68,32,2
2008-03-08,3.47,33.86,17.87,32,1
2008-03-09,16.6,421.53,96.47,32,1
2008-03-12,3.24,50.79,16.45,32,3
2008-03-14,8.57,101.83,45.48,32,2
2008-03-16,21.3,0,111.23,32,2
2008-03-23,11.64,394.73,63.92,32,7
2008-03-26,10.83,281.11,58.52,32,3
2008-03-28,8.41,150.23,44.38,32,2
2008-03-30,16.49,413.79,92.55,32,2
2008-04-02,2.87,0,14.75,32,3
2008-04-04,8.19,85.07,42.8,32,2
2008-04-06,19.73,471.79,124.7,32,2
2008-04-09,6.51,146.78,35.57,32,3
2008-04-13,23.04,610.83,152.72,32,4
2008-04-16,9.98,125.94,54.85,32,3
2008-04-18,8.16,85.64,44.25,32,2
2008-04-20,16.1,374.72,89.18,32,2
2008-04-25,8.11,91.16,43.27,32,5
2008-04-27,19.58,486.13,125.47,32,2
2008-04-30,6.3,152.56,34.47,32,3
2008-05-02,8.27,127.9,44.6,32,2
2008-05-03,22.94,0,130.3,32,1
2008-05-04,7.42,152.73,39.4,32,1
2008-05-07,10.1,210.33,56.3,32,3
2008-05-11,9.78,172.72,55.7,32,4
2008-05-14,3.28,52.84,18.1,32,3
2008-05-15,9.46,128.15,51.5,32,1
2008-05-17,5.31,39.04,25.27,32,2
2008-05-18,24.74,0,147.78,32,1
2008-05-23,11.36,0,61.1,32,5
2008-05-25,29.11,419.79,188.62,32,2
2008-05-30,9.7,404.03,54.67,32,5
2008-05-31,22.02,1613.34,139.63,32,1
2008-06-04,11.47,622.63,69.65,32,4
2008-06-06,11.25,593.89,66.1,32,2
2008-06-09,11.11,208.17,67.98,32,3
2008-06-11,6.48,110.27,33.85,32,2
2008-06-13,11.3,261.78,62.62,32,2
2008-06-14,25.6,530.73,162.42,32,1
2008-06-15,5.48,86.1,25.97,32,1
2008-06-18,7.23,142.68,42.52,32,3
2008-06-20,15.97,404.55,88.8,32,2
2008-06-21,32.61,887.3,217.33,32,1
2008-06-30,23.47,685.68,146.33,32,9
2008-07-02,13.83,171.49,81.5,32,2
2008-07-03,11.69,377.43,69.67,32,1
2008-07-13,10.58,127.08,65.83,32,10
2008-07-16,6.31,85.04,35.23,32,3
2008-07-18,14.75,396.54,83.37,32,2
2008-07-20,19.83,464.49,125.5,32,2
2008-07-22,5.31,0,29.88,32,2
2008-07-24,8.08,119.08,44.3,32,2
2008-07-27,12.12,377.46,73.72,32,3
2008-07-30,5.19,95.23,28.58,32,3
2008-07-31,8.13,103.46,45.73,32,1
2008-08-01,4.88,76.12,27.7,32,1
2008-08-03,42.67,1608.85,260.25,32,2
2008-08-05,5.16,56.01,29.88,32,2
2008-08-07,10.32,2290.13,192.18,32,2
2008-08-09,17.34,107.5,109.9,32,2
2008-08-12,3.24,73.87,21.72,32,3
2008-08-18,8.14,132.81,46.07,32,6
2008-08-18,2.58,175.05,16,32,0
2008-08-20,7.1,371.56,45.78,32,2
2008-08-31,19.68,352.02,120.68,32,11
2008-09-07,22.55,0,125.88,32,7
2008-10-22,9.71,69.06,53.58,32,45
2008-10-23,5.01,72.91,31.33,32,1
2008-10-24,13,789.47,79.93,32,1
2008-10-25,12.15,633.93,74.55,32,1
2008-10-26,21.1,433.65,110.27,32,1
2008-10-28,16.26,258.5,96.68,32,2
2008-10-29,5.24,37.56,30.52,32,1
2008-10-30,14.89,213.44,88.05,32,1
2008-10-31,7.75,107.7,48.95,32,1
2008-11-01,31.83,880.37,191.68,32,1
2008-11-05,14.72,210.13,85.92,32,4
2008-11-06,4.96,52.83,25.78,32,1
2008-11-07,14.6,359.74,81.97,32,1
2008-11-08,9.87,232.22,59.35,32,1
2008-11-09,31.88,0,182.12,32,1
2008-11-15,7.48,98.27,45.88,32,6
2008-11-15,32.2,0,187.45,32,0
2008-11-18,11.39,113.52,67.22,32,3
2008-11-20,4.97,89.96,27.68,32,2
2008-11-21,12.95,212.49,76.35,32,1
2008-11-21,14.63,348,82.48,32,0
2008-11-23,19.44,462.96,115.45,32,2
2008-11-26,8.47,225.01,51.38,32,3
2008-11-27,9.77,83.46,46.82,32,1
2008-11-27,3.24,53.3,18.93,32,0
2008-11-27,2.13,0,13.3,32,0
2008-11-28,8.44,44.03,52.23,32,1
2008-12-01,14.51,336.07,88.28,32,3
2008-12-03,4.89,85.5,29.57,32,2
2008-12-05,4.97,0,29.35,32,2
2008-12-05,9.69,137.8,54.18,32,0
2008-12-07,42.36,252.96,247.82,32,2
2008-12-15,6.51,0,38.92,32,8
2008-12-18,4.85,84,26.42,32,3
2008-12-19,4.15,93.44,24.27,32,1
2008-12-22,6.48,372.37,35.65,32,3
2008-12-23,8.06,533.19,48.37,32,1
2008-12-24,8.73,905.37,60,32,1
2008-12-29,8.16,118.43,41.65,32,5
2008-12-31,5.94,64.6,33.33,32,2
2008-12-31,5.3,208.35,31.18,32,0
2008-12-31,7.31,58.46,37.65,32,0
2009-01-02,9.8,381.69,60.32,33,2
2009-01-04,24.2,827.79,151.13,33,2
2009-01-06,8.87,181.65,49.88,33,2
2009-01-07,9.74,779.3,54.63,33,1
2009-01-08,7.07,106.45,38.2,33,1
2009-01-09,10.31,86.96,57.58,33,1
2009-01-11,24.88,2000.16,161.77,33,2
2009-01-13,8.15,269.04,48.2,33,2
2009-01-14,10.78,339.99,63.4,33,1
2009-01-15,6.77,107,37.02,33,1
2009-01-17,9.75,150.96,45.95,33,2
2009-01-17,12.88,479.11,77.37,33,0
2009-01-18,19.56,764.28,121.48,33,1
2009-01-20,6.45,107.74,40.28,33,2
2009-01-21,9.92,96.7,49.8,33,1
2009-01-22,6.99,199.52,40.53,33,1
2009-01-24,9.85,241.06,56.52,33,2
2009-01-24,28.44,1495.11,193.25,33,0
2009-01-25,8.15,83.79,51.63,33,1
2009-01-27,6.58,125.2,38.42,33,2
2009-01-28,9.76,211.24,58.72,33,1
2009-01-29,6.52,142.35,39.92,33,1
2009-01-31,19.44,1920.65,123.03,33,2
2009-02-03,3.25,54.88,18.33,33,3
2009-02-04,4.86,89.02,28.13,33,1
2009-02-07,42.11,255.73,269.1,33,3
2009-02-12,5.04,49.99,28.27,33,5
2009-02-14,13.59,361.4,83.7,33,2
2009-02-18,13.49,420.05,78.45,33,4
2009-02-21,35.42,3512.6,278.95,33,3
2009-02-24,8.14,448.13,47.97,33,3
2009-02-25,4.84,89.31,25.48,33,1
2009-03-07,17.27,1362.09,108.82,33,10
2009-03-08,10.35,408.11,67.17,33,1
2009-03-12,5.92,88.28,30.62,33,4
2009-03-13,5.61,148.01,35.25,33,1
2009-03-15,20.92,67.2,105,33,2
2009-03-17,8.11,451.03,49.65,33,2
2009-03-17,4.04,51.23,23.53,33,0
2009-03-22,7.32,800.28,52.43,33,5
2009-03-22,1.99,1067.95,12.03,33,0
2009-03-24,10.38,273.61,62.12,33,2
2009-03-28,20.2,793.31,121.93,33,4
2009-04-14,9.99,431.06,64.58,33,17
2009-05-05,3.33,237.92,20.65,33,21
2009-05-12,3.57,241.71,23.98,33,7
2009-05-15,9.78,529.44,53.95,33,3
2009-05-16,10.31,81.78,50.72,33,1
2009-05-17,8.34,576.93,50.27,33,1
2009-05-22,9.94,511.54,52.78,33,5
2009-05-23,10.03,91.73,62.13,33,1
2010-10-24,12.64,416.74,79.15,34,519
2010-10-28,4.43,371.84,43.4,34,4
2010-10-28,4.85,292.59,31.77,34,0
2010-10-31,6.68,89,30.63,34,3
2010-10-31,8.52,278.7,47.3,34,0
2010-11-02,7.66,521.42,52.07,34,2
2010-11-03,8.05,470.82,49.92,34,1
2010-11-05,5.97,156.68,42.48,34,2
2010-11-06,11.33,535.16,80.78,34,1
2010-11-07,16.53,1538.94,115.13,34,1
2010-11-11,5.5,320.63,35.42,34,4
2010-11-13,10.97,409.3,63.33,34,2
2010-11-14,20.94,2233.62,139.75,34,1
2010-11-17,9.75,695.01,58.03,34,3
2010-11-20,11.17,382.03,62.77,34,3
2010-11-21,20.42,2145.11,143.65,34,1
2010-11-23,8.09,406.07,46.9,34,2
2010-11-25,9.82,84.1,44.82,34,2
2010-11-28,19.74,654.93,134.43,34,3
2010-12-01,6.83,48.77,41.97,34,3
2010-12-03,3.36,168.93,19.12,34,2
2010-12-05,22.08,2561.56,128.37,34,2
2010-12-08,3.24,47.91,33.03,34,3
2010-12-15,4.84,295.65,28.73,34,7
2010-12-18,15.54,1616.07,114.48,34,3
2010-12-20,7.64,818.1,51.9,34,2
2010-12-21,6.7,422.94,43.08,34,1
2010-12-22,4.93,213,29.58,34,1
2010-12-23,9.07,252.45,55.68,34,1
2010-12-25,4.84,300.66,27.03,34,2
2010-12-26,13.19,496.25,84.18,34,1
2010-12-30,4.89,294.27,27.55,34,4
2010-12-31,11.28,377.52,59.95,34,1
2011-01-01,15.18,1398.76,87.07,35,1
2011-01-02,4.88,309.62,33.4,35,1
2011-01-05,5.72,212.48,36.75,35,3
2011-01-06,4.89,241.68,26.98,35,1
2011-01-07,6.64,618.56,40.87,35,1
2011-01-08,7.92,1250.1,121.25,35,1
2011-01-14,11.97,499.66,65.85,35,6
2011-01-15,7.81,1211.56,90.43,35,1
2011-01-16,14.51,289.19,84.52,35,1
2011-01-18,5.09,217.03,28.18,35,2
2011-01-25,4.87,310.49,27.25,35,7
2011-01-28,6.93,298.31,37.45,35,3
2011-02-01,9.89,75.27,57.4,35,4
2011-02-03,4.95,204.54,30.02,35,2
2011-02-03,12.42,121.62,65.72,35,0
2011-02-05,6.49,349.93,39.7,35,2
2011-02-06,9.7,47.41,45.82,35,1
2011-02-07,4.86,299.95,28.68,35,1
2011-02-10,11.29,938.09,69.97,35,3
2011-02-11,3.91,250.31,27.28,35,1
2011-02-12,8.17,119.78,41.27,35,1
2011-02-13,17.27,219.17,103.17,35,1
2011-02-14,4.87,321,28.5,35,1
2011-02-17,4.89,302.47,28.18,35,3
2011-02-18,9.23,223.86,61.8,35,1
2011-02-20,16.96,1448.22,110.23,35,2
2011-02-21,4.87,299.71,25.73,35,1
2011-02-23,13.37,411.71,72,35,2
2011-02-24,11.35,309.27,58.28,35,1
2011-02-25,5.67,261.76,34.72,35,1
2011-02-26,13.77,1087.05,80.75,35,1
2011-02-27,8.67,97.06,49,35,1
2011-02-28,4.89,268.44,29.8,35,1
2011-03-03,14,642.34,77.67,35,3
2011-03-04,4.88,244.48,28.03,35,1
2011-03-05,6.48,174.03,32.73,35,1
2011-03-06,21.22,1210.11,123.4,35,1
2011-03-09,5.9,57.52,32.2,35,3
2011-03-10,3.21,232.05,20.23,35,1
2011-03-13,21.13,69.08,103.02,35,3
